song_id,segment_id,transformation,comparison_type,metric,metric_parameters,value
031,01,reharmonization,transformed,pitch_class_similarity,{},0.728571
031,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.368421
031,01,simplification,transformed,harmonic_edit_distance,{},0.714286
031,01,simplification,transformed,pitch_class_similarity,{},0.904762
031,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.473684
031,02,chord_substitution,transformed,harmonic_edit_distance,{},0.733333
031,02,chord_substitution,transformed,pitch_class_similarity,{},0.756190
031,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
031,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
031,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
031,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.473684
031,02,reharmonization,transformed,harmonic_edit_distance,{},0.733333
031,02,reharmonization,transformed,pitch_class_similarity,{},0.768889
031,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.473684
031,02,simplification,transformed,harmonic_edit_distance,{},0.733333
031,02,simplification,transformed,pitch_class_similarity,{},0.838889
033,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.000000
033,01,chord_substitution,transformed,harmonic_edit_distance,{},0.000000
033,01,chord_substitution,transformed,pitch_class_similarity,{},0.200000
033,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
033,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
033,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
033,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.000000
033,01,reharmonization,transformed,harmonic_edit_distance,{},0.000000
033,01,reharmonization,transformed,pitch_class_similarity,{},0.200000
033,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.000000
033,01,simplification,transformed,harmonic_edit_distance,{},0.000000
033,01,simplification,transformed,pitch_class_similarity,{},0.333333
033,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.407407
033,02,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
033,02,chord_substitution,transformed,pitch_class_similarity,{},0.776667
033,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
033,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
033,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
033,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.520000
033,02,reharmonization,transformed,harmonic_edit_distance,{},0.750000
033,02,reharmonization,transformed,pitch_class_similarity,{},0.760000
033,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.652174
033,02,simplification,transformed,harmonic_edit_distance,{},0.900000
033,02,simplification,transformed,pitch_class_similarity,{},0.941667
045,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.405405
045,01,chord_substitution,transformed,harmonic_edit_distance,{},0.740741
045,01,chord_substitution,transformed,pitch_class_similarity,{},0.787654
045,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
045,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
045,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
045,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.575758
045,01,reharmonization,transformed,harmonic_edit_distance,{},0.740741
045,01,reharmonization,transformed,pitch_class_similarity,{},0.760494
