experiment,pair_count,mean_melody_score,mean_harmony_score,mean_rhythm_score,mean_global_score,precision,recall,f1_score,false_negative_rate,interpretability_pairs,interpretability_mean_global
Transformações Combinadas,1566,0.559427,0.388432,0.293772,0.433165,0.000000,0.000000,0.000000,0.000000,1566,0.433165
Transformações Harmônicas,1153,0.003469,0.382713,0.000000,0.135337,0.000000,0.000000,0.000000,0.000000,791,0.123740
Transformações Melódicas,1531,0.413152,0.000000,0.000000,0.165261,0.000000,0.000000,0.000000,0.000000,1893,0.164385
Transformações Rítmicas,1150,0.005217,0.000000,0.109235,0.029396,0.000000,0.000000,0.000000,0.000000,1150,0.029396
