metric_family,mean,median,std,minimum,q1,q3,maximum
melody,0.274688,0.040541,0.388629,0.000000,0.000000,0.550000,1.000000
harmony,0.188341,0.000000,0.324852,0.000000,0.000000,0.218954,1.000000
rhythm,0.107296,0.000000,0.280425,0.000000,0.000000,0.000000,1.000000
global,0.202619,0.074472,0.260388,0.000000,0.021781,0.254503,0.901481
