pair_id,pair_type,transformation,interval_ngram_similarity,lcs_similarity,edit_distance_similarity,chord_ngram_similarity,harmonic_edit_distance,pitch_class_similarity,rhythm_ngram_similarity,ioi_similarity,rhythmic_edit_distance,score_melody,score_harmony,score_rhythm,score_global,simple_average,weighted_average,comparison_representation,experiment_category
pair_000011,positive,simplification,0.000000,0.000000,0.000000,0.687500,0.892857,0.928571,0.000000,0.000000,0.000000,0.000000,0.836309,0.000000,0.292708,0.278770,0.292708,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/007_segment_01.json,Transformações Harmônicas
pair_000012,positive,simplification,0.363636,0.629630,0.629630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.540965,0.000000,0.000000,0.216386,0.180322,0.216386,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/007_segment_01.json,Transformações Melódicas
pair_000013,positive,tempo_change,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.333333,0.083333,0.111111,0.083333,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/tempo_change/random_seed_42__tempo_factor_0p8/007_segment_01.json,Transformações Rítmicas
pair_000014,positive,transpose,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.400000,0.333333,0.400000,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/transpose/random_seed_42__semitones_2/007_segment_01.json,Transformações Melódicas
pair_000015,positive,,1.000000,1.000000,1.000000,0.384615,0.756757,0.756757,0.000000,1.000000,0.000000,1.000000,0.632710,0.333333,0.704782,0.655348,0.704782,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/007_segment_02.json,Transformações Combinadas
pair_000016,positive,,1.000000,1.000000,1.000000,0.384615,0.756757,0.756757,1.000000,1.000000,1.000000,1.000000,0.632710,1.000000,0.871448,0.877570,0.871448,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/007_segment_02.json,Transformações Combinadas
pair_000017,positive,,1.000000,1.000000,1.000000,0.384615,0.756757,0.756757,0.000000,1.000000,0.000000,1.000000,0.632710,0.333333,0.704782,0.655348,0.704782,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/007_segment_02.json,Transformações Combinadas
pair_000018,positive,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.333333,0.833333,0.777778,0.833333,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_rhythm/mr__mt_semitones_2__rtc_tempo_factor_0p8/007_segment_02.json,Transformações Combinadas
pair_000019,positive,chord_substitution,0.000000,0.000000,0.000000,0.384615,0.756757,0.756757,0.000000,0.000000,0.000000,0.000000,0.632710,0.000000,0.221448,0.210903,0.221448,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/007_segment_02.json,Transformações Harmônicas
pair_000020,positive,duration_scaling,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.192481,0.000000,0.000000,0.000000,0.064160,0.016040,0.021387,0.016040,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/duration_scaling/duration_factor_1p2__random_seed_42/007_segment_02.json,Transformações Rítmicas
pair_000021,positive,interval_modification,0.372549,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.624183,0.000000,0.000000,0.249673,0.208061,0.249673,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/interval_modification/random_seed_42__strength_0p25/007_segment_02.json,Transformações Melódicas
pair_000022,positive,ornamentation,0.425926,0.674419,0.674419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.591588,0.000000,0.000000,0.236635,0.197196,0.236635,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/007_segment_02.json,Transformações Melódicas
pair_000023,positive,partial_rhythm_modification,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185311,0.000000,0.000000,0.000000,0.061770,0.015443,0.020590,0.015443,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/partial_rhythm_modification/random_seed_42__strength_0p25/007_segment_02.json,Transformações Rítmicas
pair_000024,positive,reharmonization,0.000000,0.000000,0.000000,0.565217,0.756757,0.762162,0.000000,0.000000,0.000000,0.000000,0.694712,0.000000,0.243149,0.231571,0.243149,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/reharmonization/random_seed_42__strength_0p25/007_segment_02.json,Transformações Harmônicas
pair_000025,positive,simplification,0.000000,0.000000,0.000000,0.894737,0.972973,0.986486,0.000000,0.000000,0.000000,0.000000,0.951399,0.000000,0.332990,0.317133,0.332990,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/007_segment_02.json,Transformações Harmônicas
pair_000026,positive,simplification,0.326087,0.583333,0.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.488325,0.000000,0.000000,0.195330,0.162775,0.195330,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/007_segment_02.json,Transformações Melódicas
